,Message,Category
10, URL shows a picture of a wheel within a wheel galaxy the universe is a strange and wonderful place jim ,0
11,the times september NUMBER NUMBER hitler style applicant welcomed by parties by roger boyes managers of germany s political parties are having difficulty explaining their enthusiastic reaction to a man who applied for membership with letters cribbed largely from mein kampf hitler s personal manifesto the incident illustrates how indiscriminate parties have become in taking on new members during an election campaign even when their sentiments bear a suspicious resemblance to those of the führer edmund stoiber is a thousand times more suited to leading germany than the present chancellor said one letter sent to the christian social union headquarters in ingolstadt chancellor schröder is doing nothing to stop the flood of foreigners who are spreading around our fatherland said the letter signed by a certain rudolph lewald the csu immediately spotted a potential member many thanks for your nice thoughts replied the local party manager who enclosed an application for membership the letter used chunks of hitler s book which is still banned in germany history students have to apply for access to the book in university libraries the strongest the brave and the hardworking will receive the birthright of existence only those who are born weaklings could regard this as offensive the letter writer said so called humanity is melting like snow in the march sun such phrases were lifted from mein kampf which was written while hitler was in jail after the failed munich putsch of NUMBER similar letters also using the nazi leader s words were sent to the other political parties and drew sympathetic responses i read your letter with great interest and pleasure the manager of the christian democratic union in cologne said great that you want to join us enthused the green party headquarters the free democrats invited the aspiring party member to a fundraising charity ball at which hans dietrich genscher the former foreign minister would be the star guest the social democrats sent a list of rallies to be attended by gerhard schröder the chancellor i wanted to test how serious parties are about combating right wing extremism said the letter writer who was in fact the cologne novelist rainer popp i had no idea that they would be so enthusiastic for the first few days i expected two men in leather coats from the special branch to knock on my door instead only the postman called with packets of election material from zealous political headquarters herr popp said i was stunned that political parties could react in this way i reckon i would have had the same response if i had signed the letter adolf hitler yahoo groups sponsor NUMBER dvds free s p join now URL to unsubscribe from this group send an email to forteana unsubscribe URL your use of yahoo groups is subject to URL ,0
12,suppose i created a rule that was in this form body rule_name text to delete d would the d delete this text from the body and mask it from the rest of the rules if so i m thinking about applying it to yahoo and sn and juno ads so that fps are reduced this URL email is sponsored by osdn tired of that same old cell phone get a new here for free URL _______________________________________________ spamassassin devel mailing list spamassassin devel URL URL ,0
13, from scott lipcon slipcon mercea net date mon NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER the speed is a problem for sure it takes a long time to do the rescanning of sequences i associate it with hitting the flist button or when my background flist goes off i m running on a pretty fast system athlon NUMBER NUMBERmb ram NUMBERk rpm ultra scsi disk and hitting flist used to take no more than a second the big difference might just be perception because the the old code just updated all the folders count color all at once instead of making it look like there is NUMBER unseen then counting its way back up i doubt i ll have much time in the immediate future to hack at this but if i do can you suggest areas that might be the best to optimize if not do you think we can put in some preferences to disable some of the more intensive features i d rather disable all the sequence support except unseen of course and have reasonable speed i suspect people on slow machines would find the current state unusable if i knew where the problem was i d fix it myself finding it is probably more work than the actual fix this is because of your hook_msgshow_update_unseen which is calling a fun ctio n which no longer exists i suspect you need seq_del exmh folder unseen msgid now instead of mh_markseen exmh folder msgid thanks i m not sure i ll need it with the new sequence code but i might does your new code commit sequences immediately the old code didn t so i put that in to help keep my mh and exmh windows in sync yes it does chris chris garrigues URL vircio URL NUMBER congress suite NUMBER austin tx NUMBER NUMBER NUMBER NUMBER NUMBER world war iii the wrong doers vs the evil doers ,0
14, g geege schuman geege barrera org writes g surely you meant political extremes and not politics baisley g help me out here ok but only if you also meant religious and alcoholic extremes when the political canvassers come to my door during the campaigns i always wonder why cigarette packages are labelled with warnings whereas political brochures are not the statistics clearly show which is the greater more senseless and more preventable killer r russell turpin deafbox hotmail com writes r it s difficult to measure which is the greater liability in a r potential mate religiosity or alcoholism g or politics gary lawrence murphy garym URL teledynamics communications blog URL biz URL computers are useless they can only give you answers picasso ,0
15, political mail the snail kind doesn t bother me i like it a lot of the time because as crap as it is at least it s not the kind of info you get on tv particularly for small time local politics it s the best way to get information but what matters is that mail is speech and political email has to be as well protected as any other political speech spam is the tool for dissident news since the face that it s unsolicited means that recipients can t be blamed for being on a mailing list URL ,0
16,yannick gingras wrote is the use of trusted hardware really worth it does it really make it more secure look at the dvds dvds don t use trusted hardware as for whether it is worth it that depends entirely on what its worth to secure your software cheers ben URL URL there is no limit to what a man can do or how far he can go if he doesn t mind who gets the credit robert woodruff ,0
17,i m still seeing razor reporting bomb out with a small variety of messages would reinitializing something here help or does razor do that as needed anyway and this just reflects trouble at the servers also since these are reports i m making from within mutt it s annoying that the error messages garble the x window a bit if there s nothing constructive to do about razor failing can i at least turn off the failure messages one way or the other i d rather not see them whit on wed sep NUMBER NUMBER at NUMBER NUMBER NUMBERpm NUMBER whit blauvelt wrote i m getting no servers available about half the time in the last few days this is with razor NUMBER is there something i need adjust in the installation here or are the servers just down overloaded thanks whit this URL email is sponsored by thinkgeek welcome to geek heaven URL _______________________________________________ razor users mailing list razor users URL URL ,0
18, made other than that i bet you could do non root the following can be scripted easily NUMBER unpack them somewhere NUMBER for each of them go to the top directory of the unpacked tarball and do configure then look in i m going by memory topdir utils you should see a spec file there do this for the NUMBER tarballs and you get NUMBER spec files the above steps can all be performed automatically if the spec files are updated to include the necessary macros in the prep setup q and build stages this would make the building of the rpm files less error prone and more self contained and it would be somewhat self documenting _______________________________________________ rpm list mailing list rpm list freshrpms net URL ,0
19,once upon a time dtd wrote thanks for the great work mathias but i would like to point out that this list is fastly become the apt rpm list instead of the rpm list the discussion concerning apt is overwhelming maybe another list is in order for those having trouble with apt rpm apt rpm hotline URL though i think apt rpm is a great tool i don t use it and would like to get back to talk of new packages and rpm building techniques hmmm know what on URL the apt list has been up for a while now there is almost no traffic though since i wanted to keep that list for apt rpm on the server side mirrors building repositories etc but hey it could be a good place for general apt rpm questions matthias matthias saou world trade center edificio norte NUMBER planta system and network engineer NUMBER barcelona spain electronic group interactive phone NUMBER NUMBER NUMBER NUMBER NUMBER _______________________________________________ rpm list mailing list rpm list URL URL ,0
20,url URL date NUMBER NUMBER NUMBERtNUMBER NUMBER NUMBER NUMBER NUMBER jeremy writes about people who ignore basic language rules i entirely agree with him writing how r u NUMBERday is the best way to make me shift my attention and respect away from you really fast another pet peeve i have only been speaking english on a regular basis for a bit more than three years and even i can grok the difference between you are and your as mjd wrote on clpm and said in the yapc movie you ,0
21,hmm if the shoe fits i think these five attributes could more or less describe various actions of the us over the past decade or so in the NUMBERs we witnessed the emergence of a small number of rogue states that while different in important ways share a number of attributes these states brutalize their own people and squander their national resources for the personal gain of the rulers the first part of this doesn t really fit except in isolated cases certainly not en mass the second part though hmm display no regard for international law threaten their neighbors and callously violate international treaties to which they are party well think about it are determined to acquire weapons of mass destruction along with other advanced military technology to be used as threats or offensively to achieve the aggressive designs of these regimes we already have weapons of mass destruction but are actively developing bigger and better ones sponsor terrorism around the globe and heheh anyone know about the school of the americas what about the monies supplies and training that supported the contra rebels oh i forgot their government was bad and needed to be overthrown with out help reject basic human values and hate the united states and everything for which it stands basic human values like the first ammendment the fourth ammendment sorry shrub your political newspeak is falling on deaf ears oh sorry maybe i should self censor my thoughts to avoid being put in a re education camp by ashcrofts gestappo gads maybe someone on fork has joined your t i p s program and became an official citizen spy in disgust elias ,0
22,url URL date NUMBER NUMBER NUMBERtNUMBER NUMBER NUMBER NUMBER NUMBER img URL sports by brooks ,0
23, in forteana y d mcmann dmcmann b wrote jeffrey archer the truth hehe brilliant i especially liked the little touches like the flying pigs when maggie tells him she wants him to be her successor i can imagine him watching this in his cell and thinking that it is all perfectly true as he recalls it rob have you seen the missing have you seen sign to unsubscribe from this group send an email to forteana unsubscribe URL your use of yahoo groups is subject to URL ,0
24, cam ron associate juelz santana has vehemently defended a lyric on the forthcoming album by the pair s diplomats crew that pays tribute to september NUMBER hijacker omar atta no steve earle at least used to make great records martin yahoo groups sponsor NUMBER dvds free s p join now URL to unsubscribe from this group send an email to forteana unsubscribe URL your use of yahoo groups is subject to URL ,0
25,the structure of the internet has never been about where the ditches and ruts are dug although the world needs ditch diggers too it s a simple inductive concept you are you and see the world as such you plus NUMBER degree of separation is a new you all this stuff about scale free internets viruses sex and money is silly scale free statistically indistinguishable models really means internet scale as rediscovered by social networks people research has shown that the network of human sexual partners seems to be scale free too i tend to prefer the harvard business review to the economist as they tend to spend less time writing about who s sleeping with whom and come up with real statistical models greg lies damn lies and statistics russell turpin wrote not exactly new bits but i enjoyed seeing the economist pick up on the similarity between computer and social networks URL _________________________________________________________________ chat with friends online try msn messenger URL gregory alan bolcer cto work NUMBER NUMBER NUMBER NUMBER gbolcer at URL URL endeavors technology inc cell NUMBER NUMBER NUMBER NUMBER ,0
26,on sun NUMBER NUMBER NUMBER at NUMBER NUMBER alvie wrote hdparm dNUMBER dev hdc says operation not permitted dvd playback is very jumpy does someone have any ideas on what i can do yo get dma transfers thanks alvie add to etc modules conf options ide cd dma NUMBER chris kloiber _______________________________________________ rpm list mailing list rpm list freshrpms net URL ,0
27,on wed NUMBER NUMBER NUMBER at NUMBER NUMBER ville skyttä wrote the devices are there now thank gordon for reporting the problem and as i said you were the only one any further comments are very welcome download URL new spec URL ahh wonderful just tried out these and finally got sound working with my abit thNUMBERii raid s integrated audio i ve been pulling hair together with the helpful opensound people for quite some time now but we ve failed to get sound to work either with the drivers included in kernel or the commercial oss thanks a lot the rpms seem to be fine they worked for me out of the box on vanilla valhalla w latest errata except that i don t see an init script in the rpms a sample one designed for rh is supposed to be in utils alsasound could you take a look if it can be included cheers ille skyttä ville skytta at URL _______________________________________________ rpm list mailing list rpm list freshrpms net URL ,0
28, craig URL said the ga run on the current corpus is yielding an average mean score for false positives of about NUMBER points which is higher than before there s some tweaking to be done yet rule elimination and such so that will likely fall but NUMBER might not be enough of a correction in many situations i will set the scores for the habeas stuff and the ironport stuff to be sensible given a estimated likeliness of compliance with habeas bonded sender rules and b score correction level needed to achieve purposes of those projects using the score ranges stuff and my aggressive anti fp evaluation code btw yielded an average fp of NUMBER NUMBER points with NUMBER NUMBER fps and NUMBER NUMBER overall accuracy but i notice you went back to the other method just pointing this out j this URL email is sponsored by osdn tired of that same old cell phone get a new here for free URL _______________________________________________ spamassassin talk mailing list spamassassin talk URL URL ,0
29,on NUMBER sep NUMBER at NUMBER NUMBER geege schuman wrote who watched lathe of heaven a e NUMBER pm edt who has seen the original by original if you are referring to the old pbs version i liked that version much better much more thought provoking ,0
30,update of cvsroot spamassassin spamassassin masses tenpass in directory usw pr cvsNUMBER tmp cvs servNUMBER tenpass log message directory cvsroot spamassassin spamassassin masses tenpass added to the repository this URL email is sponsored by osdn tired of that same old cell phone get a new here for free URL _______________________________________________ spamassassin commits mailing list spamassassin commits URL URL ,0
31, martin mentioned i ve used this a few times and can thoroughly recommend it it really doeswork frankly the only drawback is finding too much stuff rachel rote i ll be amazed if there s anyone on here who isn t already a heavy user barbara babbles be amazed i ve never bought anything online since an almighty cock up with amazon dot con that s not a typo a few years back where i lost all the dosh i d paid them and had no books to show for it either had it been the uk branch i d have had them in the small claims court quicker than you could drop lotr on your foot and say ouch but as it was the us branch i d just no comeback barbara yahoo groups sponsor NUMBER dvds free s p join now URL to unsubscribe from this group send an email to forteana unsubscribe URL your use of yahoo groups is subject to URL ,0
32,in message NUMBER oaaNUMBER hippolyta crd ge com kevin kenny said mcmasjc URL said NUMBER you can learn to use procmail it absolutely can be done from forward i am in the same situation as you and that is how i do it jim mcmaster mailto mcmasjc URL _______________________________________________ exmh users mailing list exmh users URL URL ,0
33,url URL date NUMBER NUMBER NUMBERtNUMBER NUMBER NUMBER NUMBER NUMBER yesterday viridiana came to my place and dragged me out to look at the sky it was beautiful odd colors and light obviously we wondered what it was today jim explains it it was a rocket test from the vandenburg air force base very neat it was a bit too blurred out when i saw it and there was too much street light to make a good photo so i am happy to have found the photo from nasa ,0
34,on NUMBER aug NUMBER at NUMBER NUMBER rohit khare wrote datapower technology on monday unveiled its network device designed specifically to process xml data unlike competing solutions that process xml data in software datapower s device processes the data in hardware a technology achievement that provides greater performance according to company officials sarvega seems to have a similar product URL ,0
35, kevin oberman said it did for me but i am not willing to say it is not a tcl tk issue as other apps seemed to work ok for cut and paste and tk does its clipboard stuff a bit differently than most toolkits so i m not about to place blame just reporting my experience one more salvo on x and cut paste x specifies at least two mechanisms for cut paste but as usual mandates no policy windows and macintosh have a slightly different mechanism and one uniform policy i m quite sure that tk implements all primary and clipboard selections accurately the primary selection is the one that is tied to the visible selection on your x display the clipboard selection is the one with the explicit copy step and is the same as what you have on windows and macintosh however exmh throws in support for the cutbuffer mechanism which is another archaic mechanism supported at one point perhaps still today by versions of emacs exmh has a policy that tries to unify all these mechanisms under one umbrella and by all reports it is not that great i would encourage folks to play with those NUMBER lines of code in text_selection and report what works well for them we may come up with NUMBER lines that work for everyone or perhaps introduce yet another setting that lets folks choose between a few useful models of course that s an admission of policy failure but i m willing to do that brent welch software architect panasas inc pioneering the world s most scalable and agile storage network URL welch URL _______________________________________________ exmh users mailing list exmh users URL URL ,0
36,use perl daily newsletter in this issue tpf october newsletter tpf october newsletter posted by pudge on tuesday october NUMBER NUMBER NUMBER links URL NUMBER delegatrix writes the october edition of the NUMBER perl foundation newsletter has been posted this newsletter includes an interview with white camel winner tim maher discuss this story at URL links NUMBER mailto lisa URL NUMBER URL copyright NUMBER NUMBER pudge all rights reserved you have received this message because you subscribed to it on use perl to stop receiving this and other messages from use perl or to add more messages or change your preferences please go to your user page URL you can log in and change your preferences from there ,0
37,is there a way to tell spamassassin to put the results at the bottom of the message instead if not what is the easiest way to do this i found a report_header but no equivalent report_bottom thanks jon jon g URL this URL email is sponsored by jabber the world s fastest growing real time communications platform don t just im build it in URL _______________________________________________ spamassassin talk mailing list spamassassin talk URL URL ,0
38,url URL date NUMBER NUMBER NUMBERtNUMBER NUMBER NUMBER NUMBER NUMBER so i called the power company promptly at NUMBERam to find out what they were smoking the allowed me to pay by credit card so that i could get reactivated today and pay a NUMBER reconnection fee for the privilege ,0
39,on fri NUMBER oct NUMBER NUMBER NUMBER NUMBER NUMBER ben liblit liblit eecs berkeley edu wrote so if your fonts look ugly lack of bytecode hinting is not the cause well you are right sorry i didn t have any better idea yesterday late in the evening the fonts are ugly only inside of gnomeNUMBER and clean for gnomeNUMBER apps if antialiasing is disabled this is difficult to understand for me regards from germany matthias _______________________________________________ rpm list mailing list rpm list freshrpms net URL ,0
40,url URL date not supplied viral antibodies are identified in a one month old baby as the us death toll rises sharply ,0
41,on mon NUMBER NUMBER NUMBER at NUMBER NUMBER matthias saou wrote eek maybe it s just me but i don t think that s a good idea outputting a message in post and providing a readme of some kind would be better as well as perhaps adding a note in description why eek if no dev dvd exists it ll create it if dev dvd exists it won t touch it i assume that you won t ghost or remove these and the modules conf change on uninstall though so people who are installing this rpm and are unfortunate enough to have a dvd drive or just an ordinary cd non dvd drive that doesn t support dma will be left with a system without a working cd drive even after removing the rpm and without ever knowing what struck them you can t remove the dma setting from modules conf either unless you re sure that ogle added it there and nothing else needs it the dev stuff isn t that dangerous but the modules conf change can be that s why eek if someone installs ogle a dvd player i m assuming the hardware is recent enough for software playback and that the drive is a dvd rom all of them support dma but since that change requires a reboot or a manual change i m still hesitating to integrate it a worthy goal my goal is to allow users to install a dvd player through synaptic and play dvds in no time outputting a message in the post section of a package is always a bad idea putting the tip in the description sounds good though how about splitting the creation of the symlinks and modules conf modifications into a separate rpm ille skyttä ville skytta at URL _______________________________________________ rpm list mailing list rpm list freshrpms net URL ,0
42,url URL date not supplied jakob nielsen on offshore usability NUMBER to save costs some companies are outsourcing web projects to countries with cheap labor unfortunately these countries lack strong usability traditions and their developers have limited access if any to good usability data from the target users offshore usability is a specific case of the general offshore design problem put simply software teams are not successful when design or management are done in a different physical location than programming once i actually had a job where i was in new york my direct manager was in singapore _his_ manager was in hyderabad and if i needed any management input i had literally no choice but to go to the ceo because at least he was awake during the same hours as i was you can t get things done like this a good project team relies on hundreds of small interactions a day here in the fog creek offices we have NUMBER small conversations about fogbugz NUMBER NUMBER development every day what i don t understand is people who think it s ok to move the developers ten time zones away from their managers and expect good results those same people would scream bloody murder if you told them that you were going to send the whole _management_ team to bangalore or beijing NUMBER URL ,0
43,when i try to use apt get upgrade it wants to install libusb while i got it same version and all collapse because of this roi _______________________________________________ rpm list mailing list rpm list freshrpms net URL ,0
44,o utensils of the world i wonder if it is possible to reverse engineer the reed solomon error correcting codes to create a bytestream such that when burned onto a cd you can make out a picture in the diffraction pattern i suppose this is a modern equivalent to line printer artwork i was imagining using a cd rw drive to use the outer track say to spell out the disc title creation time etc it would sure beat feeding cds through a laser printer rohit ,0
